type,fasta file count,replicate,User time (minutes),System time (minutes),Percent of CPU this job got,Wall clock time (minutes),Maximum resident set size (Gb),graph file size (Mb),Exit status
julia,5,0,3.2031666666666667,0.157,143,2.334166666666667,1.8550682067871094,6.748388290405273,0
julia,5,1,6.512166666666667,0.2045,197,3.3928333333333334,1.8900871276855469,7.088921546936035,0
julia,5,2,2.939833333333333,0.18633333333333332,120,2.5981666666666663,1.4488258361816406,6.780550956726074,0
julia,5,3,3.466833333333333,0.18666666666666665,123,2.946833333333333,1.7908172607421875,7.167690277099609,0
julia,5,4,2.7246666666666663,0.1605,127,2.255666666666667,1.7560920715332031,6.455107688903809,0
julia,10,0,5.902166666666667,0.338,256,2.432666666666667,2.613208770751953,8.76530933380127,0
julia,10,1,5.9185,0.35933333333333334,225,2.7808333333333333,3.132068634033203,9.270020484924316,0
julia,10,2,6.566333333333334,0.4046666666666667,241,2.8913333333333333,3.2504119873046875,9.546154975891113,0
julia,10,3,5.9215,0.45766666666666667,216,2.940166666666667,3.066089630126953,9.012319564819336,0
julia,10,4,5.926166666666666,0.36466666666666664,206,3.053,3.0232162475585938,8.938103675842285,0
julia,15,0,7.674333333333333,0.5941666666666666,288,2.864833333333333,4.435413360595703,11.311532974243164,0
julia,15,1,8.461,0.5963333333333334,331,2.735,5.005535125732422,11.608916282653809,0
julia,15,2,9.424666666666667,0.5898333333333333,310,3.2256666666666667,4.249534606933594,11.873348236083984,0
julia,15,3,9.306999999999999,0.5926666666666667,382,2.5896666666666666,4.739723205566406,11.4068603515625,0
julia,15,4,8.7895,0.5896666666666667,334,2.8041666666666667,5.346454620361328,11.892985343933105,0
julia,20,0,12.654166666666667,0.7923333333333333,385,3.490333333333333,5.1366424560546875,13.73592758178711,0
julia,20,1,13.418000000000001,0.8951666666666667,384,3.7235,5.955921173095703,15.324061393737793,0
julia,20,2,13.931333333333333,0.9126666666666666,389,3.8073333333333332,5.437953948974609,14.495247840881348,0
julia,20,3,14.394166666666667,0.8933333333333333,445,3.4290000000000003,6.35845947265625,13.436049461364746,0
julia,20,4,12.7425,0.8765000000000001,365,3.7251666666666665,5.2140655517578125,13.511977195739746,0
julia,25,0,20.8835,1.2633333333333332,541,4.088333333333334,6.579959869384766,17.20843505859375,0
julia,25,1,19.521666666666665,1.1753333333333333,518,3.9938333333333333,7.138523101806641,17.891697883605957,0
